Absalons : Absaló,Absalò
Albons : Albó,Albons
Aleixos : Aleix,Aleixos
Alexandres : Alexandre,Alexandra
Basses : Basses,Bassa
Cais : Cais,Cai
Carolines : Carolines,Carolina
Claravalls : Claravall,Claravalls
Constantins : Constantí,Constantins
Felius : Felius,Feliu
Flores : Flores,Flora
Francs : Francs,Franc
Gal·les : Gal·les,Gal·la
Isaures : Isaura,Isaure
Joana : Joan,Joana
Marians : Marians,Marià,Marian
Marines : Marina,Marines
Martines : Martines,Martina
Maures : Maura,Maure
Nils : Nil,Nils
Ots : Ots,Ot
Perfectes : Perfecte,Perfecta
Quarts : Quarts,Quart
Rafels : Rafel,Rafels
Romans : Romans,Romà
Rosers : Rosers,Roser
Roses : Rosa,Roses
Tours : Tour,Tours
Valentins : Valentí,Valentins
Valents : Valents,Valent
Verges : Verge,Verges
Zoes : Zoa,Zoe
abarrotada : abarrotat,abarrotar
abarrotades : abarrotat,abarrotar
abarrotat : abarrotat,abarrotar
abarrotats : abarrotat,abarrotar
abast : abast,abastar
abastí : abastar,abastir
abat : abat,abatre
abatoll : abatoll,abatollar
abats : abat,abatre
abatuda : abatuda,abatre
abatudes : abatuda,abatre
abatussada : abatussar,abatussat
abatussades : abatussar,abatussat
abatussat : abatussar,abatussat
abatussats : abatussar,abatussat
abatut : abatut,abatre
abatuts : abatut,abatre
abdicant : abdicant,abdicar
abelles : abella,abelles
abestiada : abestiar,abestiat
abestiades : abestiar,abestiat
abestiat : abestiar,abestiat
abestiats : abestiar,abestiat
abeurada : abeurada,abeurar
abeurades : abeurada,abeurar
abietàcia : abietàcia,abietaci
abietàcies : abietàcia,abietaci
abioquímica : abioquímic,abioquímica
abioquímiques : abioquímic,abioquímica
abirritant : abirritar,abirritant
abisme : abisme,abismar
abismes : abisme,abismar
abissínia : abissini,abissínia
abissínies : abissini,abissínia
ablanida : ablanir,ablanida
ablanides : ablanir,ablanida
ablaürada : ablaürar,ablaürat
ablaürades : ablaürar,ablaürat
ablaürat : ablaürar,ablaürat
ablaürats : ablaürar,ablaürat
abocada : abocada,abocar
abocades : abocada,abocar
abonada : abonat,abonar
abonades : abonat,abonar
abonaré : abonaré,abonar
abonat : abonat,abonar
abonats : abonat,abonar
aboní : abonir,abonar
abrandada : abrandar,abrandat
abrandades : abrandar,abrandat
abrandat : abrandar,abrandat
abrandats : abrandar,abrandat
abraonada : abraonar,abraonada
abraonades : abraonar,abraonada
abrasant : abrasant,abrasar
abrasiu : abrasir,abrasiu
abrasí : abrasir,abrasar
abraç : abraç,abraçar
abraçada : abraçar,abraçada
abraçades : abraçar,abraçada
abraçadora : abraçador,abraçadora
abraçadores : abraçador,abraçadora
abric : abrigar,abric
abrigall : abrigall,abrigallar
abrilada : abrilat,abrilada
abrilades : abrilat,abrilada
abrivada : abrivada,abrivar
abrivades : abrivada,abrivar
abrusí : abrusir,abrusar
abràquia : abraqui,abràquia
abràquies : abraqui,abràquia
abscissa : abscís,abscissa
abscisses : abscís,abscissa
absent : absent,absentar
absenta : absenta,absentar
absentes : absenta,absentar
absolta : absoldre,absolta
absoltes : absoldre,absolta
abstèmia : abstemi,abstèmia
abstèmies : abstemi,abstèmia
abundant : abundant,abundar
abís : abissar,abís
abús : abús,abusar
acabada : acabar,acabat
acabades : acabar,acabat
acabat : acabar,acabat
acabats : acabar,acabat
acalorada : acalorat,acalorada,acalorar
acalorades : acalorat,acalorada,acalorar
acalorat : acalorat,acalorar
acalorats : acalorat,acalorar
acampada : acampar,acampada
acampades : acampar,acampada
acanalada : acanalat,acanalar
acanalades : acanalat,acanalar
acanalat : acanalat,acanalar
acanalats : acanalat,acanalar
acantàcia : acantàcia,acantaci
acantàcies : acantàcia,acantaci
